variable_1,variable_2,n,pearson_r,p_value
P,C,60,0.268702144280103,0.0379012912205106
P,I,60,0.32425316759730055,0.011487351560531638
P,O,60,0.13154228181256572,0.316416131140149
P,H,60,0.0407396764354086,0.7572772426850104
P,PERF_QUALITY,60,0.4274866532483708,0.0006574435063012264
P,PERF_COST,60,0.5475561991861354,5.963425648397541e-06
P,PERF_EFF,60,0.4529044607917234,0.00027953010558492085
P,PERF_FLEX,60,0.44049389336770484,0.00042795489176624616
P,PERF_OVERALL,60,0.6329528548706548,5.7531793442058355e-08
C,I,60,0.26270884297962266,0.04257059579027088
C,O,60,0.03318130488468414,0.8012854363845086
C,H,60,0.0974973852945701,0.45863697633689116
C,PERF_QUALITY,60,0.20550917118341985,0.11519963795564164
C,PERF_COST,60,0.3140781010086988,0.014531459371527519
C,PERF_EFF,60,0.38702076539600416,0.002252171301210966
C,PERF_FLEX,60,0.3077453178972704,0.016756533547977806
C,PERF_OVERALL,60,0.41493892742673893,0.0009791010676622745
I,O,60,0.21745660279182222,0.0951141035215875
I,H,60,-0.027505484607885218,0.8347494802363685
I,PERF_QUALITY,60,0.6390502459703097,3.9085412461042324e-08
I,PERF_COST,60,0.3612111462920236,0.004575580602785942
I,PERF_EFF,60,0.34449496937799884,0.007031271891383618
I,PERF_FLEX,60,0.3882827983319714,0.002172246807838867
I,PERF_OVERALL,60,0.5868892518652806,8.293241789210959e-07
O,H,60,0.1566495889027093,0.2319802378304922
O,PERF_QUALITY,60,0.3465876302960713,0.006671246862158139
O,PERF_COST,60,0.2275755933120309,0.08033646674170286
O,PERF_EFF,60,0.4499278348947209,0.0003100533129748868
O,PERF_FLEX,60,0.23957448158156808,0.06523443046398543
O,PERF_OVERALL,60,0.4275083689289257,0.0006569817292684028
H,PERF_QUALITY,60,0.11295522247628643,0.3901768210235879
H,PERF_COST,60,0.33336514803831385,0.009245743735841068
H,PERF_EFF,60,-0.033241403361997005,0.8009328824414115
H,PERF_FLEX,60,0.12449453297386397,0.34326250192511465
H,PERF_OVERALL,60,0.17702216191514608,0.17603113093808187
PERF_QUALITY,PERF_COST,60,0.3704139264747581,0.003576792904618614
PERF_QUALITY,PERF_EFF,60,0.3629751628960673,0.0043669851463679875
PERF_QUALITY,PERF_FLEX,60,0.6271186440677965,8.263507761721173e-08
PERF_QUALITY,PERF_OVERALL,60,0.8079221523021765,6.113162953488659e-15
PERF_COST,PERF_EFF,60,0.1857779777255731,0.15526911476024535
PERF_COST,PERF_FLEX,60,0.40611647360485514,0.0012838729369032277
PERF_COST,PERF_OVERALL,60,0.6496725224188874,1.9522200889050353e-08
PERF_EFF,PERF_FLEX,60,0.2977212010271112,0.02087230531172984
PERF_EFF,PERF_OVERALL,60,0.6271460721920278,8.249597012387262e-08
PERF_FLEX,PERF_OVERALL,60,0.8269961997426999,3.9045470978591647e-16
