variable,label_zh,label_en,n,missing,mean,std_dev,min,max,ci95_lower,ci95_upper
P,P 感知层,P Perception,60,0,2.914975845410628,0.47053878187424547,1.9275362318840579,4.0144927536231885,2.7934227888162004,3.036528902005055
C,C 连接层,C Connectivity,60,0,3.2829931972789117,0.43067407095928706,2.2653061224489797,4.224489795918367,3.171738287508143,3.3942481070496804
I,I 集成层,I Integration,60,0,2.8471751412429374,0.5242825841968517,1.7457627118644068,4.033898305084746,2.711738588331164,2.9826116941547105
O,O 优化层,O Optimisation,60,0,2.8551020408163263,0.5558317685096968,1.530612244897959,3.9183673469387754,2.7115154693853314,2.9986886122473213
H,人机协同,Human-machine collaboration,60,0,3.109195402298851,0.4642510071379453,2.1724137931034484,4.413793103448276,2.9892666501567158,3.229124154440986
PERF_QUALITY,质量改善,Quality improvement,60,0,3.2666666666666666,0.5163977794943223,2.0,4.0,3.1332669747941155,3.4000663585392177
PERF_COST,成本改善,Cost improvement,60,0,3.216666666666667,0.4903014177278999,2.0,4.0,3.0900083798831233,3.3433249534502103
PERF_EFF,效率改善,Efficiency improvement,60,0,3.316666666666667,0.5365194379932872,2.0,4.0,3.178068999221186,3.455264334112148
PERF_FLEX,柔性改善,Flexibility improvement,60,0,3.4166666666666665,0.6454972243679028,2.0,5.0,3.2499170518259777,3.5834162815073554
PERF_OVERALL,综合生产绩效,Overall production performance,60,0,3.3041666666666667,0.4015110934857098,2.25,4.25,3.2004453528243526,3.407887980508981
