variable_1,variable_2,n,pearson_r,p_value
P,C,64,0.169056394616587,0.18173553825382338
P,I,64,0.16952422102190634,0.1805119972674028
P,O,64,0.19960567999301096,0.11380217547212435
P,H,64,0.048788705829243745,0.701834627567193
P,PERF_QUALITY,64,0.46591256454765273,0.00010452663172498577
P,PERF_COST,64,0.29445442168403224,0.01818494168489565
P,PERF_EFF,64,0.16844178203097956,0.18335208821514068
P,PERF_FLEX,64,0.592636627874981,2.4802864502456124e-07
P,PERF_OVERALL,64,0.5949399829745835,2.1680313557870392e-07
C,I,64,0.23020313030323095,0.06725131798400291
C,O,64,0.06560249439392539,0.6065309788021529
C,H,64,-0.01643526402345703,0.8974372764958936
C,PERF_QUALITY,64,0.21708968693969455,0.08486986207225225
C,PERF_COST,64,0.20260095260852778,0.10837010560431824
C,PERF_EFF,64,0.11435176954927923,0.3682585525808727
C,PERF_FLEX,64,0.18858729337071975,0.13559687197520776
C,PERF_OVERALL,64,0.2819084171701197,0.024020368746621626
I,O,64,0.17831915374165896,0.15860929197974144
I,H,64,0.0943078881380244,0.4585433104523436
I,PERF_QUALITY,64,0.4354742779909947,0.0003226466840857318
I,PERF_COST,64,0.26380784195615253,0.035175067883555726
I,PERF_EFF,64,0.42016710774090826,0.0005471270128806543
I,PERF_FLEX,64,0.23227149881374737,0.06476219813144389
I,PERF_OVERALL,64,0.5167473176478601,1.234310410196643e-05
O,H,64,0.3790115525485045,0.0020120831813128007
O,PERF_QUALITY,64,0.4365990828365533,0.00031005815138082865
O,PERF_COST,64,0.4060078400503635,0.0008726347770727963
O,PERF_EFF,64,0.21770741308685426,0.08396541231493698
O,PERF_FLEX,64,0.2761256592709037,0.027202463708216044
O,PERF_OVERALL,64,0.5218382933035428,9.774867006086331e-06
H,PERF_QUALITY,64,0.32563156112401626,0.00864726497958522
H,PERF_COST,64,0.1876039398228319,0.13768512972637878
H,PERF_EFF,64,0.03298319763964807,0.7958394189510571
H,PERF_FLEX,64,0.35458132107558005,0.004043026934774823
H,PERF_OVERALL,64,0.35583416586829697,0.0039059175814865734
PERF_QUALITY,PERF_COST,64,0.3550281905386816,0.003993640986617613
PERF_QUALITY,PERF_EFF,64,0.32823679727555877,0.008098371026813891
PERF_QUALITY,PERF_FLEX,64,0.23824946110320436,0.057982679022153
PERF_QUALITY,PERF_OVERALL,64,0.7495364301016656,1.0369291639075601e-12
PERF_COST,PERF_EFF,64,0.29250896965085227,0.019001404787059716
PERF_COST,PERF_FLEX,64,0.15550356973880483,0.2198263761185233
PERF_COST,PERF_OVERALL,64,0.7085542889065515,5.7531333889485725e-11
PERF_EFF,PERF_FLEX,64,-0.023690723417357937,0.852588727157012
PERF_EFF,PERF_OVERALL,64,0.5862454289710006,3.583334027155287e-07
PERF_FLEX,PERF_OVERALL,64,0.5404200138908117,4.037468568221997e-06
