group_variable,outcome,n_total,minimum_group_n,test,status,statistic,df1,df2,p_value,p_fdr_bh,effect_size_name,effect_size,groups
participated_digital_project,P,64,5,welch_t_test,ok,1.5636407733353124,48.14030286536669,,0.12445256198779892,0.6580050291909999,hedges_g,0.38946226676407325,"[{""group"": ""no"", ""n"": 42, ""mean"": 2.8433402346445824, ""std_dev"": 0.5126584789544139}, {""group"": ""yes"", ""n"": 22, ""mean"": 2.6495388669301714, ""std_dev"": 0.4475385821595791}]"
participated_digital_project,C,64,5,welch_t_test,ok,-0.1648487145359189,47.50198496300337,,0.8697625822076458,0.9209250870433897,hedges_g,-0.041260482205293485,"[{""group"": ""no"", ""n"": 42, ""mean"": 2.7798833819241984, ""std_dev"": 0.4216665243051223}, {""group"": ""yes"", ""n"": 22, ""mean"": 2.7968460111317253, ""std_dev"": 0.37390100082669114}]"
participated_digital_project,I,64,5,welch_t_test,ok,-1.7364848892020885,37.20623448540998,,0.09075286100799264,0.6580050291909999,hedges_g,-0.47504812567493115,"[{""group"": ""no"", ""n"": 42, ""mean"": 2.490718321226796, ""std_dev"": 0.4900614308529703}, {""group"": ""yes"", ""n"": 22, ""mean"": 2.741140215716487, ""std_dev"": 0.5759668241056342}]"
participated_digital_project,O,64,5,welch_t_test,ok,0.6860936201437894,43.386050988201376,,0.49630440037652934,0.759279724427555,hedges_g,0.17743364312250787,"[{""group"": ""no"", ""n"": 42, ""mean"": 2.703595724003887, ""std_dev"": 0.5062412169620158}, {""group"": ""yes"", ""n"": 22, ""mean"": 2.6131725417439706, ""std_dev"": 0.4978873784329097}]"
participated_digital_project,H,64,5,welch_t_test,ok,0.21363710793104823,47.47269169741612,,0.8317449562021451,0.9209250870433897,hedges_g,0.05348390547057725,"[{""group"": ""no"", ""n"": 42, ""mean"": 2.87192118226601, ""std_dev"": 0.5795789013804942}, {""group"": ""yes"", ""n"": 22, ""mean"": 2.841692789968652, ""std_dev"": 0.5142947365402102}]"
participated_digital_project,PERF_OVERALL,64,5,welch_t_test,ok,1.1283973997194008,53.157185967225665,,0.26421922759065974,0.7351985699381085,hedges_g,0.2706083508311058,"[{""group"": ""no"", ""n"": 42, ""mean"": 3.0952380952380953, ""std_dev"": 0.37429763880606515}, {""group"": ""yes"", ""n"": 22, ""mean"": 3.0, ""std_dev"": 0.28867513459481287}]"
shift,P,64,5,one_way_anova,ok,0.1528482884025148,3.0,60.0,0.9274625100578082,0.9274625100578082,eta_squared,0.007584450903174613,"[{""group"": ""day"", ""n"": 16, ""mean"": 2.7237318840579707, ""std_dev"": 0.39283895716284345}, {""group"": ""night"", ""n"": 16, ""mean"": 2.8432971014492754, ""std_dev"": 0.5225763210691382}, {""group"": ""regular"", ""n"": 16, ""mean"": 2.773550724637681, ""std_dev"": 0.6179166982682535}, {""group"": ""rotating"", ""n"": 16, ""mean"": 2.766304347826087, ""std_dev"": 0.4667439249517674}]"
shift,C,64,5,one_way_anova,ok,0.41973012153364153,3.0,60.0,0.7394984128744121,0.8873980954492945,eta_squared,0.02055512580408773,"[{""group"": ""day"", ""n"": 16, ""mean"": 2.7831632653061225, ""std_dev"": 0.41113712547440545}, {""group"": ""night"", ""n"": 16, ""mean"": 2.704081632653061, ""std_dev"": 0.45334917612842424}, {""group"": ""regular"", ""n"": 16, ""mean"": 2.866071428571429, ""std_dev"": 0.3853465295023792}, {""group"": ""rotating"", ""n"": 16, ""mean"": 2.7895408163265305, ""std_dev"": 0.3806888361958687}]"
shift,I,64,5,one_way_anova,ok,2.366071732109468,3.0,60.0,0.07982065533474253,0.6580050291909999,eta_squared,0.10578843528936091,"[{""group"": ""day"", ""n"": 16, ""mean"": 2.6334745762711864, ""std_dev"": 0.48348676930707407}, {""group"": ""night"", ""n"": 16, ""mean"": 2.5921610169491522, ""std_dev"": 0.570777024722079}, {""group"": ""regular"", ""n"": 16, ""mean"": 2.305084745762712, ""std_dev"": 0.5107294635023513}, {""group"": ""rotating"", ""n"": 16, ""mean"": 2.7764830508474576, ""std_dev"": 0.4856740647150494}]"
shift,O,64,5,one_way_anova,ok,1.594970306521913,3.0,60.0,0.20000705364113572,0.7200253931080886,eta_squared,0.07385841628317567,"[{""group"": ""day"", ""n"": 16, ""mean"": 2.6785714285714284, ""std_dev"": 0.4578286886482566}, {""group"": ""night"", ""n"": 16, ""mean"": 2.612244897959184, ""std_dev"": 0.5360267957935413}, {""group"": ""regular"", ""n"": 16, ""mean"": 2.5153061224489797, ""std_dev"": 0.5197474797747411}, {""group"": ""rotating"", ""n"": 16, ""mean"": 2.8839285714285716, ""std_dev"": 0.4586902110404035}]"
