variable,label_zh,label_en,n,missing,mean,std_dev,min,max,ci95_lower,ci95_upper
P,P 感知层,P Perception,64,0,2.776721014492754,0.49639864007926376,1.710144927536232,4.057971014492754,2.6527243235274347,2.900717705458073
C,C 连接层,C Connectivity,64,0,2.7857142857142856,0.4029633132811045,2.0,3.7755102040816326,2.685057044954521,2.88637152647405
I,I 集成层,I Integration,64,0,2.576800847457627,0.5303256524079785,1.3898305084745763,3.7457627118644066,2.444329440964424,2.7092722539508305
O,O 优化层,O Optimisation,64,0,2.6725127551020407,0.5012882089917083,1.5714285714285714,3.795918367346939,2.547294686162573,2.7977308240415084
H,人机协同,Human-machine collaboration,64,0,2.861530172413793,0.5540622388476952,1.793103448275862,4.241379310344827,2.7231295430426483,2.999930801784938
PERF_QUALITY,质量改善,Quality improvement,64,0,3.09375,0.5554563403470574,2.0,4.0,2.9550011344355345,3.2324988655644655
PERF_COST,成本改善,Cost improvement,64,0,3.0,0.563436169819011,2.0,4.0,2.8592578323410085,3.1407421676589915
PERF_EFF,效率改善,Efficiency improvement,64,0,3.078125,0.48155460881383044,2.0,4.0,2.957836237721201,3.198413762278799
PERF_FLEX,柔性改善,Flexibility improvement,64,0,3.078125,0.5434950825554035,2.0,4.0,2.94236396773361,3.21388603226639
PERF_OVERALL,综合生产绩效,Overall production performance,64,0,3.0625,0.34789617133815376,2.25,4.0,2.975598122028403,3.149401877971597
